Event	ID	Name			Wwise Object Path	Notes
	802821452	UI_DeathEvent			\SD Event\UI\UI_DeathEvent	
	870714546	Forge_Fire_Loop			\SD Event\Ambiance\Forge\Forge_Fire_Loop	
	873092944	UI_Validate			\SD Event\UI\UI_Validate	
	2200300695	UI_HammerHit			\SD Event\UI\UI_HammerHit	
	2628486379	UI_RemoveItem			\SD Event\UI\UI_RemoveItem	
	2839405212	Stop_Ambiance			\SD Event\Stop_Ambiance	
	2921734634	UI_AddItem			\SD Event\UI\UI_AddItem	
	3332999173	Foley_Door			\SD Event\Foley\Foley_Door	
	3688695384	UI_DialEvent			\SD Event\UI\UI_DialEvent	
	4012865327	UI_LivingEvent			\SD Event\UI\UI_LivingEvent	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2209506	UI_DeathEvent_02	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\UI_DeathEvent_02_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\DeathEvent\UI_DeathEvent_02		338468
	33143554	VO_HumanLaugh_31	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\VO_HumanLaugh_31_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\VOLiving\VO_HumanLaugh_31		271836
	39654774	Foley_Forge_DoorOpen_03	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\Foley_Forge_DoorOpen_03_10C4C929.wem		\Actor-Mixer Hierarchy\Foleys\Forge\DoorOpen\Foley_Forge_DoorOpen_03		282512
	66784747	VO_HumanLaugh_10	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\VO_HumanLaugh_10_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\VOLiving\VO_HumanLaugh_10		385584
	77145014	Foley_Forge_Hammer_05	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\Foley_Forge_Hammer_05_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\Hammer\Foley_Forge_Hammer_05		112860
	109108939	VO_HumanLaugh_29	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\VO_HumanLaugh_29_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\VOLiving\VO_HumanLaugh_29		192696
	130716600	Foley_Forge_DoorClose_04	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\Foley_Forge_DoorClose_04_10C4C929.wem		\Actor-Mixer Hierarchy\Foleys\Forge\DoorClose\Foley_Forge_DoorClose_04		303872
	143952928	VO_HumanLaugh_32	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\VO_HumanLaugh_32_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\VOLiving\VO_HumanLaugh_32		290944
	186025753	VO_HumanDeath_12	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\VO_HumanDeath_12_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\VODeath\VO_HumanDeath_12		513540
	208439808	DialEvent	D:\Documents\- ENJMIN\- PROJETS\Global Game Jam 2020\Repo_Wwise\trunk\GGJ_WwiseProject\.cache\Mac\SFX\UI_DialStart_01_10C4C929.wem		\Actor-Mixer Hierarchy\UI\Forge\DialEvent		180512
